DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO,MÊS,ANO
2004-06-06,2004-06-12,NORDESTE,MARANHAO,ETANOL HIDRATADO,107,R$/l,1.632,0.155,1.29,2.0,0.485,0.095,1.147,0.126,0.9405,1.47097,0.11,6,2004
2004-06-06,2004-06-12,NORDESTE,PARAIBA,ETANOL HIDRATADO,128,R$/l,1.3,0.115999999999999,1.14,1.699,0.336,0.089,0.964,0.06,0.7807,1.0694,0.062,6,2004
2004-06-06,2004-06-12,NORDESTE,PERNAMBUCO,ETANOL HIDRATADO,415,R$/l,1.235,0.119,0.99,1.7,0.263,0.096,0.972,0.084,0.682,1.2971,0.086,6,2004
2004-06-06,2004-06-12,NORDESTE,PIAUI,ETANOL HIDRATADO,94,R$/l,1.604,0.07,1.4,1.78,0.485,0.044,1.119,0.076,0.9758,1.3072,0.068,6,2004
2004-06-06,2004-06-12,NORDESTE,RIO GRANDE DO NORTE,ETANOL HIDRATADO,130,R$/l,1.287,0.107,1.09,1.59,0.318,0.083,0.969,0.085,0.7869,1.1899,0.088,6,2004
2004-06-06,2004-06-12,NORDESTE,SERGIPE,ETANOL HIDRATADO,55,R$/l,1.316,0.085,1.15,1.514,0.301,0.065,1.015,0.079,0.8264,1.196,0.078,6,2004
2004-06-06,2004-06-12,NORTE,ACRE,ETANOL HIDRATADO,33,R$/l,1.806,0.133,1.5,1.98,0.623,0.074,1.183,0.161,0.789,1.3121,0.136,6,2004
2004-06-06,2004-06-12,NORTE,AMAPA,ETANOL HIDRATADO,14,R$/l,1.796,0.045,1.75,1.85,0.39,0.025,1.406,0.104,1.1527,1.5456,0.074,6,2004
2004-06-06,2004-06-12,NORTE,AMAZONAS,ETANOL HIDRATADO,57,R$/l,1.562,0.125,1.28,1.85,0.493,0.08,1.069,0.071,0.93,1.2412,0.066,6,2004
2004-06-06,2004-06-12,NORTE,PARA,ETANOL HIDRATADO,95,R$/l,1.909,0.247,1.29,2.4,0.527,0.129,1.382,0.194,0.7999,1.8713,0.14,6,2004
2004-06-06,2004-06-12,NORTE,RONDONIA,ETANOL HIDRATADO,95,R$/l,1.553,0.136999999999999,1.25,1.99,0.546,0.088,1.007,0.134,0.7002,1.3306,0.133,6,2004
2004-06-06,2004-06-12,NORTE,RORAIMA,ETANOL HIDRATADO,13,R$/l,1.465,0.074,1.3,1.5,0.316,0.051,1.149,0.06,0.9909,1.2022,0.052,6,2004
2004-06-06,2004-06-12,NORTE,TOCANTINS,ETANOL HIDRATADO,72,R$/l,1.292,0.102,1.099,1.59,0.582,0.079,0.71,0.106,0.56,0.9802,0.149,6,2004
2004-06-06,2004-06-12,SUDESTE,ESPIRITO SANTO,ETANOL HIDRATADO,309,R$/l,1.177,0.121,0.9,1.47,0.286,0.103,0.891,0.092,0.6662,1.2623,0.103,6,2004
2004-06-06,2004-06-12,SUDESTE,MINAS GERAIS,ETANOL HIDRATADO,1263,R$/l,1.251,0.105,0.949,1.875,0.351,0.084,0.9,0.124,0.3797,1.3461,0.138,6,2004
2004-06-06,2004-06-12,SUDESTE,RIO DE JANEIRO,ETANOL HIDRATADO,966,R$/l,1.165,0.154,0.83,1.599,0.254,0.132,0.911,0.198,0.4,1.3667,0.217,6,2004
2004-06-06,2004-06-12,SUDESTE,SAO PAULO,ETANOL HIDRATADO,4082,R$/l,0.894,0.071,0.669,1.199,0.205,0.079,0.689,0.072,0.47797,1.0669,0.104,6,2004
2004-06-06,2004-06-12,SUL,PARANA,ETANOL HIDRATADO,746,R$/l,1.064,0.0819999999999999,0.78,1.5,0.306,0.077,0.758,0.129,0.4357,1.0053,0.17,6,2004
2004-06-06,2004-06-12,SUL,RIO GRANDE DO SUL,ETANOL HIDRATADO,698,R$/l,1.358,0.128,1.04,1.71,0.36,0.094,0.998,0.126,0.55,1.34,0.126,6,2004
2004-06-06,2004-06-12,SUL,SANTA CATARINA,ETANOL HIDRATADO,513,R$/l,1.302,0.063,1.1,1.498,0.382,0.048,0.92,0.113,0.6602,1.212,0.123,6,2004
